Tag; Feiertage; Bundesland
01.01.2016; Neujahr; Nordrhein-Westfalen
25.03.2016; Karfreitag; Nordrhein-Westfalen
28.03.2016; Ostermontag; Nordrhein-Westfalen
01.05.2016; Maifeiertag; Nordrhein-Westfalen
05.05.2016; Christi Himmelfahrt; Nordrhein-Westfalen
16.05.2016; Pfingstmontag; Nordrhein-Westfalen
26.05.2016; Fronleichnam; Nordrhein-Westfalen
03.10.2016; Tag der Deutschen Einheit; Nordrhein-Westfalen
01.11.2016; Allerheiligen; Nordrhein-Westfalen
25.12.2016; 1. Weihnachtstag; Nordrhein-Westfalen
26.12.2016; 2. Weihnachtstag; Nordrhein-Westfalen
